person_id,人名,显示名,字或号,正式称号,建议文件名
dingxuan-2,丁瑄,,,佥都御史,portrait_dingxuan_2.png
dingxuan-3,丁铉,,,赠刑部尚书,portrait_dingxuan_3.png
dingyu,丁玉,,,御史,portrait_dingyu.png
dingyuanjian,丁元荐,,,礼部主事,portrait_dingyuanjian.png
dipeng,翟鹏,,,巡抚,portrait_dipeng.png
dipufu,翟溥福,,,青阳知县,portrait_dipufu.png
dishan,翟善,,,尚书,portrait_dishan.png
ditang,翟唐,,,河南承宣布政使,portrait_ditang.png
dongchuance,董传策,,,同进士,portrait_dongchuance.png
donghanru,董汉儒,,,兵部尚书,portrait_donghanru.png
dongji,董基,,,历员外郎,portrait_dongji.png
dongjie,董杰,,,巡抚,portrait_dongjie.png
donglun,董伦,,,左春坊大学士,portrait_donglun.png
dongqichang,董其昌,,玄宰,书画家,portrait_dongqichang.png
dongxiang,董相,,,监察御史,portrait_dongxiang.png
dongxing,董兴,,,海宁伯,portrait_dongxing.png
dongyingju,董应举,,,的举人,portrait_dongyingju.png
dongyiyuan,董一元,,,总兵,portrait_dongyiyuan.png
dongzizhuang,董子庄,,,茂名县知县,portrait_dongzizhuang.png
doumiaoshan,窦妙善,,,瑞州通判,portrait_doumiaoshan.png
douren,都任,,,有巡按御史,portrait_douren.png
duanfuxing,段复兴,,,庆阳推官,portrait_duanfuxing.png
duanjian,段坚,,,莱州府知府,portrait_duanjian.png
duanmin,段民,,,郎中,portrait_duanmin.png
duluan,杜鸾,,,大理寺评事,portrait_duluan.png
dutong,杜桐,,来仪,右佥都御史,portrait_dutong.png
duyin,杜寅,,,歧宁卫知事,portrait_duyin.png
duyinxi,堵胤锡,,仲缄、牧子,武英殿大学士,portrait_duyinxi.png
fanchang,范常,,,太常寺卿,portrait_fanchang.png
fanfucui,范复粹,,玉坡,吏部尚书,portrait_fanfucui.png
fangbin,方宾,,,兵部尚书,portrait_fangbin.png
fangcongzhe,方从哲,,汝愚,内阁首辅,portrait_fangcongzhe.png
fangdun,方钝,,,户部尚书,portrait_fangdun.png
fangfengnian,方逢年,,书田,东阁大学士兼礼部尚书,portrait_fangfengnian.png
fangfengshi,方逢时,,行之、兆行,宁国府知府,portrait_fangfengshi.png
fangguozhen,方国珍,,,民变领袖,portrait_fangguozhen.png
fanghuanghou,方皇后,,,皇后,portrait_fanghuanghou.png
fangkeqin,方克勤,,,济宁府知府,portrait_fangkeqin.png
fangkongzhao,方孔炤,,,嘉定州知州,portrait_fangkongzhao.png
fangkuan,房宽,,,都督,portrait_fangkuan.png
fangliangyong,方良永,,,刑部员外郎,portrait_fangliangyong.png
fangsheng,房胜,,,世指挥使,portrait_fangsheng.png
fangxianfu,方献夫,,叔贤,太保,portrait_fangxianfu.png
fangxiaoru,方孝孺,,希直,翰林侍讲,portrait_fangxiaoru.png
fangying,方瑛,,,南和伯,portrait_fangying.png
fangyuegong,方岳贡,,四长,左副都御史,portrait_fangyuegong.png
fangzheng-2,方征,,,监察御史,portrait_fangzheng_2.png
fangzhenghua,方正化,,,司礼监太监,portrait_fangzhenghua.png
fangzhenru,方震孺,,,巡抚,portrait_fangzhenru.png
fanjingwen,范景文,,梦章,兵部尚书,portrait_fanjingwen.png
fanmin,范敏,,,试户部尚书,portrait_fanmin.png
fanshutai,范淑泰,,,戊辰科进士,portrait_fanshutai.png
fanyiheng,樊一蘅,,,南明时总督,portrait_fanyiheng.png
fanying,樊莹,,,南京刑部尚书,portrait_fanying.png
fanyuheng,樊玉衡,,,经过大学士,portrait_fanyuheng.png
fanzhiwan,范志完,,,辽东督师,portrait_fanzhiwan.png
fanzong,范鏓,,,员外郎,portrait_fanzong.png
feihong,费宏,,子充,内阁首辅,portrait_feihong.png
feihuan,费瓛,,,平羌将军,portrait_feihuan.png
feiju,费聚,,子英,平凉侯,portrait_feiju.png
feizhen,费震,,,户部尚书,portrait_feizhen.png
fengbao,冯保,,,司礼监太监,portrait_fengbao.png
fengcongwu,冯从吾,,仲好,工部尚书,portrait_fengcongwu.png
fengen,冯恩,,,吏部尚书,portrait_fengen.png
fenggui,冯贵,,,士,portrait_fenggui.png
fengjian,冯坚,,,左佥都御史,portrait_fengjian.png
fengjing,冯泾,,,礼部员外郎,portrait_fengjing.png
fengjinglong,冯景隆,,,并论救御史,portrait_fengjinglong.png
fengmenglong,冯梦龙,,犹龙、耳犹、子犹,文学家,portrait_fengmenglong.png
fengquan,冯铨,,伯衡、振鹭,户部尚书,portrait_fengquan.png
fengsheng,冯胜,,,宋国公,portrait_fengsheng.png
fengshikong,冯师孔,,,陕西巡抚,portrait_fengshikong.png
fengxi,丰熙,,,举人,portrait_fengxi.png
fengyingjing,冯应京,,,户部主事,portrait_fengyingjing.png
fengyuanyang,冯元飏,,爾賡，元冲、元仲,天津巡抚,portrait_fengyuanyang.png
fuchaoyou,傅朝佑,,,壬戌科进士,portrait_fuchaoyou.png
fuchenggongzhu,福成公主,,,福成公主,portrait_fuchenggongzhu.png
fudingquan,傅鼎铨,,,成进士,portrait_fudingquan.png
fugui,傅珪,,,正德间累官礼部尚书,portrait_fugui.png
fuhan,傅瀚,,,礼部尚书,portrait_fuhan.png
fuhaoli,傅好礼,,,监察御史,portrait_fuhaoli.png
fuji,傅檝,,,登进士,portrait_fuji.png
fuqinggongzhu,福清公主,,,福清公主,portrait_fuqinggongzhu.png
fushangrui,傅上瑞,,,署知府,portrait_fushangrui.png
fushu,傅恕,,,博野知县,portrait_fushu.png
fuxizhi,傅希挚,,,郎中,portrait_fuxizhi.png
fuyingzhen,傅应祯,,,职湖广零陵县知县,portrait_fuyingzhen.png
fuyoude,傅友德,,惟学,颍川侯,portrait_fuyoude.png
fuzonglong,傅宗龙,,仲纶、元宪、献可,兵部尚书,portrait_fuzonglong.png
fuzuolin,傅作霖,,润生,兵部尚书,portrait_fuzuolin.png
gaobangzuo,高邦佐,,,巡抚,portrait_gaobangzuo.png
gaobing,高棅,,彦恢,文学评论家,portrait_gaobing.png
gaodai,高岱,,,刑部郎中,portrait_gaodai.png
gaodi,高第,,,长洲县知县,portrait_gaodi.png
gaodounan,高斗南,,,四川定远知县,portrait_gaodounan.png
gaodoushu,高斗枢,,象先,书法家,portrait_gaodoushu.png
gaofeng,高凤,,,司礼监太监,portrait_gaofeng.png
